,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined,sentiment
18,18,,Just wow!,"Bought 65 inch- 10 days of watching experience: I am very much satisfied with this product and quality of pictures specially in this price having HDR and Dolby vision with QLED panel unbelievable deal, also having Motorola as brand I am very happy, still hopping after sales support will be helpful whenever required from Motorola side.",0,wow bought inch day watch experi much satisfi product qualiti pictur special price hdr dolbi vision qled panel unbeliev deal also motorola brand happi still hop sale support help whenev requir motorola side,positive
19,19,,Delightful,"I have purchased this TV for 35k after all card offers and coupon discounts. I have bought 65 inch variant. Working is not that smooth. You can find noticeable lag in the selection page for first 2 to 5 mins when you switch on tv and later the lag is reducing and working smooth with time. Picture quality in selection page is not that great but actual picture quality of the video is great. Yes, its bit heavily saturated. You ll notice reds and greens are more vibrant but its looking good. ...",0,delight purchas tv k card offer coupon discount bought inch variant work smooth find notic lag select page first min switch tv later lag reduc work smooth time pictur qualiti select page great actual pictur qualiti video great yes bit heavili satur notic red green vibrant look good,positive
20,20,,Wonderful,Good tv.. quality screen... Colours also... Value of money ..,0,wonder good tv qualiti screen colour also valu,positive
21,21,,Worth every penny,"Super tv 5,🌞 super picture could sound volume best TV Moto",0,worth everi penni super tv super pictur could sound volum best tv moto,positive
22,22,,Best in the market!,Didn't find any drawback. The picture quality is good. The sound is good. Value for money..,0,best market didnt find drawback pictur qualiti good sound good valu,positive
23,23,,Simply awesome,"Excellent by price wise, picture quality oswm, 55 inch uHD my dream, now dream come true. Thanks MotorolaThanks Flipkart",0,simpli awesom excel price wise pictur qualiti oswm inch uhd dream dream come true thank motorolathank flipkart,positive
24,24,,Slightly disappointed,Picture Low quality,0,slight disappoint pictur low qualiti,positive
25,25,,Great product,so elegant so beautiful looking like a wow,0,great product eleg beauti look like wow,positive
26,26,,Just wow!,"Product is very good, picture quality is nice, sound system is super...👌👌👌",0,wow product good pictur qualiti nice sound system super,positive
27,27,,Very Good,Value for money..,0,good valu,positive
28,28,,Nice product,This TV is very good in this budget,0,nice product tv good budget,positive
29,29,,Wonderful,Value for money 💰💰💰 very nice product,0,wonder valu nice product,positive
30,30,,Wonderful,The overall product is good.,0,wonder overal product good,positive
31,31,,Delightful,Motorola tv 65 inches good 👍 quality picture,0,delight motorola tv inch good qualiti pictur,positive
32,32,,Really Nice,Good product thank you flipkart fast delivery and installation,0,realli nice good product thank flipkart fast deliveri instal,positive
33,33,,Classy product,"Although its been only 2 days of use so I must say that it is an initial review but the first impressions of this Motorola 55 inch Smart TV are really very encouraging. The sound is a bit on the lower side, meaning we have to keep it on higher level to listen fully but picture quality is awesome. The TV satisfies the expectations remarkably. I am giving a 5 star rating to this product. I hope the experience remains the best throughout and I don't have to update my review later.",0,classi product although day use must say initi review first impress motorola inch smart tv realli encourag sound bit lower side mean keep higher level listen fulli pictur qualiti awesom tv satisfi expect remark give star rate product hope experi remain best throughout dont updat review later,positive
34,34,,Great product,Veri nice Motorola  EnvisionX 32inch QLED HDThank you flipkart.,0,great product veri nice motorola envisionx inch qled hdthank flipkart,positive
35,35,,Classy product,good,0,classi product good,positive
36,36,,Best in the market!,Super the best quality 👍🏻👍🏻👍🏻💯💯💯💯,0,best market super best qualiti,positive
37,37,,Fabulous!,Reviewing after almost 2 months... And the TV is working really well...you can buy it without hesitation.,0,fabul review almost month tv work realli wellyou buy without hesit,positive
38,38,,Worth every penny,Super tq f,0,worth everi penni super tq f,positive
39,39,,Simply awesome,Nice product,0,simpli awesom nice product,positive
40,40,,Best in the market!,"Very good tv.. Clarity is very good , software and options are wonderful.. Too good for the price",0,best market good tv clariti good softwar option wonder good price,positive
41,41,,Terrific purchase,"Everything is good! Except the automatic picture correction, you can disable that option or else you would find picture glitch colour changing. Sound is not Dolby Atmos. You must buy separate home theatre for this for true 5.1",0,terrif purchas everyth good except automat pictur correct disabl option els would find pictur glitch colour chang sound dolbi atmo must buy separ home theatr true,positive
42,42,,Value-for-money,"I'm completely Satisfied with this TV Sound was really amazingPicture quality and Clarity was awesomeBest Qled 4K tv with HDR 10 Support and Dolby vision and Atmos...Bluetooth, Wifi, Screen mirroring and HDMI connectivity is GoodTv coming with a Google OS with and Android 11 And I'm noticing Some lags is this OS Maybe it'll resolve by the next update hopefully Only that was an issue with this reaming was fantastic...Perfect Budget Qled",0,valueformi im complet satisfi tv sound realli amazingpictur qualiti clariti awesomebest qled k tv hdr support dolbi vision atmosbluetooth wifi screen mirror hdmi connect goodtv come googl os android im notic lag os mayb itll resolv next updat hope issu ream fantasticperfect budget qled,positive
43,43,,Super!,Excellent quality,0,super excel qualiti,positive
44,44,,Terrific,"Initial comments TV working as mentioned by brand. Good picture quality, sound is ok (not bad). This is based on 1 week usage.",0,terrif initi comment tv work mentid brand good pictur qualiti sound ok bad base week usag,positive
45,45,,Best in the market!,Very good,0,best market good,positive
46,46,,Just okay,"Overall at this price range, this Qled is the best. However sound quality disappoints. Hence the company needs to work on it.",0,okay overal price rang qled best howev sound qualiti disappoint henc compani need work,positive
47,47,,Nice,Ok,0,nice ok,positive
