,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined
32,32,,Fabulous!,"After watching 3-4 days on this led tv.. I found it good worth of money.. Picture quality is awesome and clear.. Sound is good and not need to connect any other speaker because the output of the TV speakers is enough to enjoy a loud sound experience. Connectivity options are good and quick.. Overall I will recommended it to buy  over Mi, realme and other similar brands..",0,fabul watch day led tv found good worth pictur qualiti awesom clear sound good need connect speaker output tv speaker enough enjoy loud sound experi connect option good quick overal recommend buy mi realm similar brand
33,33,,Excellent,🥰🥰happy,0,excel happi
34,34,,Best in the market!,Very good TVSound and picture quality is bestConnectivity is goodGood service of flipkart,0,best market good tvsound pictur qualiti bestconnect goodgood servic flipkart
35,35,,Perfect product!,It is very nice 😘😘and good colitis 🎆🎇🎆🎉🎊📺📺📺,0,perfect product nice good coliti
36,36,,Good quality product,"Awesome smart tv at this price sound quality and picture is super, connectivity also excellent it have all the smart tv apps just go for it, Best smart tv at this value.And filpkart packing is very good , thank you filpkart for your services.",0,good qualiti product awesom smart tv price sound qualiti pictur super connect also excel smart tv app go best smart tv valueand filpkart pack good thank filpkart servic
37,37,,Very Good,"This is an initial impression. { just 2 days}Delivered before date, and installation done within 3 hrs which is very impressive.Pros1. Value for money2. Useful apps are pre-loaded3. Connectivity is good4. Picture quality is goodCons1. Table stand / walk mount not included in the box. But you have an option to select at the time of installation. Ideally we should get both, but you will get either. { DO NOT PAY ANYTHING FOR TABLE STAND OR WALL MOUNT, ITS FREE FROM SAMSUNG}2. Sound is...",0,good initi impress daysdeliv date instal within hrs impressivepro valu use app preload connect good pictur qualiti goodcon tabl stand walk mount includ box option select time instal ideal get get either pay anyth tabl stand wall mount free samsung sound
38,38,,Wonderful,Good,0,wonder good
39,39,,Good choice,Most amazing tv at amazing price. Right from placing the order to getting installation done everything was smooth. I would like to recommend this tv to everyone.,0,good choic amaz tv amaz price right place order get instal everyth smooth would like recommend tv everi
40,40,,Really Nice,Nice and good,0,realli nice nice good
41,41,,Nice product,Good,0,nice product good
42,42,,Good quality product,"Good Television For Modern Time ,If You Want It Then Go Nd Buy It ,,,👍",0,good qualiti product good televis modern time want go nd buy
43,43,,Delightful,"Pros: Pricing - It comes at a lower price than even a standard smartphone. Picture - Picture quality is good. However, square pixels are clearly seen if looked closely. Sound - In a nutshell, ""Awesome"". Value for money. Pre-installed apps - It has Hotstar, Netflix, YouTube, etc.and few other similar apps built-in. Just switch on your internet and enjoy.Cons: Bluetooth - It lacks bluetooth connectivity which I feel is unbelievable.HD Ready only - Resolution is not that great. But keeping...",0,delight pros price come lower price even standard smartph pictur pictur qualiti good howev squar pixel clear seen look close sound nutshel awesom valu preinstal app hotstar netflix youtub etcand similar app builtin switch internet enjoycon bluetooth lack bluetooth connect feel unbelievablehd readi resolut great keep
44,44,,Simply awesome,Nice tv. Picture and sound quality is good. But there is no table top stand in the box. You have to ask the technician for table top stand if you don't want wall mount. Table top stand is free of cost. Overall good product.,0,simpli awesom nice tv pictur sound qualiti good tabl top stand box ask technician tabl top stand dont want wall mount tabl top stand free cost overal good product
45,45,,Nice product,"Review after 2weeks Am already using Mi 4a Pro for last one year,Comparing with Mi 32inch tv#picture clarity Mi is winner #for Audio clarity samsung is winner, really super soundComming to samsung tvPros Sound is far better than miFast boot and opening is fast - mi tv is delay in boot and switching, app openingUser friendly, helpful for old age peopleBuild is super ConsThick bizelsCable tv picture is not that good.. use set top box for better results",0,nice product review week alreadi use mi pro last yearcompar mi inch tvpictur clariti mi winner audio clariti samsung winner realli super soundcom samsung tvpros sound far better mifast boot open fast mi tv delay boot switch app openingus friend help old age peoplebuild super consthick bizelsc tv pictur good use set top box better result
46,46,,Highly recommended,Good picture good product good sound amazing product thank you Flipkart good delivery,0,high recommend good pictur good product good sound amaz product thank flipkart good deliveri
47,47,,Simply awesome,TV is very  good at price level all features is good but no headphone jack disney Hotstar apps is not available in the home application that's it thank you.,0,simpli awesom tv good price level featur good headph jack disney hotstar app avail home applic that thank
48,48,,Awesome,I am fully satisfied with this product... Great picture quality..,0,awesom fulli satisfi product great pictur qualiti
49,49,,Classy product,Overall good and excellent for this budget price. But one suggestion must send table stand with box,0,classi product overal good excel budget price suggest must send tabl stand box
50,50,,Classy product,Nice TV at this price rang,0,classi product nice tv price rang
51,51,,Value-for-money,Good,0,valueformi good
52,52,,Simply awesome,All should buy this amazing product thanku flipkart 🥰🥰🏆,0,simpli awesom buy amaz product thanku flipkart
53,53,,Worth the money,Go through It !,0,worth go
54,54,,Mind-blowing purchase,Connecting with pc is best ...... Netflix working very better and sound quality is also best .Hd support is very best .....1080 p with youtube is awesomeInstallation done in 2 days,0,mindblow purchas connect pc best netflix work better sound qualiti also best hd support best p youtub awesomeinstal day
55,55,,Perfect product!,Nice product,0,perfect product nice product
56,56,,Wonderful,"Samsung 32 inch smart tv is a good one to buy. Picture quality is very nice. When you are running via internet, bandwidth is the main priority. High bandwidth you can watch best picture. But i am dissatisfied with the sound. Although it has 20watt rms speakers, but sound is average. Bluetooth is unavailable in this model. I think in low budget its the best tv to buy.",0,wonder samsung inch smart tv good buy pictur qualiti nice run via internet bandwidth main prioriti high bandwidth watch best pictur dissatisfi sound although watt rms speaker sound averag bluetooth unavail model think low budget best tv buy
57,57,,Awesome,Just outstanding performance.... Thanks flipkart. This product is very chif and just wow,0,awesom outstand perform thank flipkart product chif wow
58,58,,Highly recommended,Nice LED Smart For Best,0,high recommend nice led smart best
59,59,,Perfect product!,"Very good Tv, Nice picture quality but sound quality not good but overall good....Thank you Flipkart for fast delivery and installation, I'm satisfied for this 🙏👍",0,perfect product good tv nice pictur qualiti sound qualiti good overal goodthank flipkart fast deliveri instal im satisfi
60,60,,Wonderful,Samsung HD led TV nice,0,wonder samsung hd led tv nice
61,61,,Highly recommended,"Wow!!! I am very surprised about it. It is very awesome and nice picture quality and like of Full HD but it is HD. It is Ultra HD + HDR, Deep Colour (True beautiful Colour) I am extremely happy and mind blowing. Thank Flipkart Service. I already giving rating of 5/5 🔥.Picture/Sound/Connect or all are rating of 5/5 🔥🔥🔥",0,high recommend wow surpris awesom nice pictur qualiti like full hd hd ultra hd hdr deep colour true beauti colour extrem happi mind blow thank flipkart servic alreadi give rate picturesoundconnect rate
62,62,,Wonderful,Awesome product by samsung.But installation process is slow this time.,0,wonder awesom product samsungbut instal process slow time
63,63,,Worth every penny,"No laging, Sound quality is better than  others (in 20 w group),picture quality is good but not satisfied ,Value for money,in this price range this tv is better than other  Chinese brand like MI,realme ,one plus and  extras....!I give 4.2 stars.",0,worth everi penni lage sound qualiti better other w grouppictur qualiti good satisfi valu myin price rang tv better chines brand like mirealm plus extrasi give star
64,64,,Great product,"Amazing product,i,am happy ????",0,great product amaz productiam happi
65,65,,Terrific,Good,0,terrif good
66,66,,Great product,Super,0,great product super
67,67,,Good quality product,Very nice product 😊👍Fastest delivery 🚚Installation and demo done by very next day 👍👍,0,good qualiti product nice product fastest deliveri instal demo next day
68,68,,Simply awesome,"Bazel less slim ,samsung is master of good disply  picture quality is really excellent, connectivity is also good .Really satisfied with the purchase also quick delivery by flipkart delivery partner.",0,simpli awesom bazel less slim samsung master good displi pictur qualiti realli excel connect also good realli satisfi purchas also quick deliveri flipkart deliveri partner
69,69,,Terrific,Fabulous product 😘😘There is some delay  on product delivery...Overall the product is good and product quality is also good product delivery in good condition ...Fully satisfied with this product...Value of money....Thanks to flipkart😘✌️,0,terrif fabul product delay product deliveryoveral product good product qualiti also good product deliveri good condit fulli satisfi productvalu mythank flipkart
70,70,,Pretty good,It is good product in reasonable price.,0,pretti good good product reason price
71,71,,Good quality product,Sound quality is good. Display is super. They always maintain the quality. Value for money. As speaker given in bottom it is suitable for wall mounting only,0,good qualiti product sound qualiti good display super alway maintain qualiti valu speaker given bottom suitabl wall mount
72,72,,Delightful,Nice tv,0,delight nice tv
73,73,,Terrific,Amazing picture quality and superb connectivity.. sound good as well.. one flause I found is it does not have bluetooth.. sadly? overall good value for money...,0,terrif amaz pictur qualiti superb connect sound good well flaus found bluetooth sad overal good valu
74,74,,Best in the market!,Picture quality so good...must buy...just go for it 🤗,0,best market pictur qualiti goodmust buyjust go
75,75,,Classy product,Verry good smart TV with this range.installation person come on given time but tv delivery is 3 days late on given time.overall tv is very good,0,classi product verri good smart tv rangeinstal person come given time tv deliveri day late given timeoveral tv good
76,76,,Fabulous!,Nyc product,0,fabul nyc product
77,77,,Worth every penny,Good pictures quality and good 👍sound quality...,0,worth everi penni good pictur qualiti good sound qualiti
78,78,,Wonderful,Nice 👍,0,wonder nice
79,79,,Highly recommended,Good 👍,0,high recommend good
80,80,,Simply awesome,Very very good product good picture Colette,0,simpli awesom good product good pictur colett
81,81,,Wonderful,"Picture quality awesome, sound quality very good. Don't purchase other brand. Samsung is best choice.",0,wonder pictur qualiti awesom sound qualiti good dont purchas brand samsung best choic
82,82,,Excellent,Nice and awesome thank Flipkart for such a great deal thank u Samsung,0,excel nice awesom thank flipkart great deal thank u samsung
83,83,,Classy product,Awesome product from samsung and negative is  less no of ports,0,classi product awesom product samsung negat less port
84,84,,Pretty good,Worth,0,pretti good worth
85,85,,Delightful,Looking nice. Writing this review after 3 days of buying. I have not connected wireless keyboard and mouse yet.,0,delight look nice write review day buy connect wireless keyboard mous yet
86,86,,Simply awesome,Nice experience....value for money!!,0,simpli awesom nice experiencevalu
87,87,,Wonderful,Fully Satisfied this Tv,0,wonder fulli satisfi tv
88,88,,Perfect product!,Super design,0,perfect product super design
89,89,,Awesome,Great Quality And Superfast Installation Service from Samsung,0,awesom great qualiti superfast instal servic samsung
