,Unnamed: 0,Rating,Review Title,Review Body,Label,Combined,sentiment
17,17,,Classy product,It has been about a month now and this ac is doing a good job. I mostly run it at 27 degrees or above and don't find any issues with cooling or even no annoying noise from the outdoor unit as mentioned in some reviews. It runs around 15 hours per day.Will get to know the electricity consumption only once the bill is generated.,0,classi product month ac good job most run degre dont find issu cool even annoy nois outdoor unit mentid review run around hour per daywil get know electr consumpt bill generat,negative
18,18,,Terrific purchase,"Godrej ac is highly reliable. I couldn't check the current consumption as all gadgets in my house are connected to one power meter.Because it's a convert 5in1 split ac, noise is high in C5 with maximum fan speed in indoor. However if we keep the fan in lowest speed and @ C1, it's very silent with excellent cooling for ground floor room.Only drawback I could note is that the indoor doesn't show the room temprature. It shows only the set temprature. Godrej should incorporate this in future mo...",0,terrif purchas godrej ac high reliabl couldnt check current consumpt gadget hous connect power meterbecaus convert split ac nois high c maximum fan speed indoor howev keep fan lowest speed c silent excel cool ground floor roomon drawback could note indoor doesnt show room tempratur show set tempratur godrej incorpor futur mo,negative
19,19,,Nice,After few days it smell very bad for few hours Than automatically get repair Cooling is good Energy efficient Daily uses 15 hours /10 unit per day,0,nice day smell bad hour automat get repair cool good energi effici daili use hour unit per day,negative
20,20,,Really Nice,Delivered at the same time they give and installation is NXT to the delivery date and it's fantastic to buy this product.,0,realli nice deliv time give instal nxt deliveri date fantast buy product,negative
21,21,,Best in the market!,Very nice cooling iam soo happy thankyou flipcart,0,best market nice cool iam soo happi thankyou flipcart,negative
22,22,,Terrific,Super cooling  good service and instalation,0,terrif super cool good servic instal,negative
23,23,,Fair,Cooling is not as expected then the blue star and fan sou,0,fair cool expect blue star fan sou,negative
24,24,,Very Good,"I am giving this review after using last 7 months.Pros  : If you use 10/12 hours then 3/4 units of it will come.  Even after turning off AC, the room remains cold till 30/40 minutes.Cons: Cooling speed is very slow.The water is falling very slowly from the indoor unit, I don't know why this is happening.I give 4 star because only electricity unit.",0,good give review use last monthspro use hour unit come even turn ac room remain cold till minutescon cool speed slowth water fall slowli indoor unit dont know happeningi give star electr unit,negative
25,25,,Good quality product,Ok good👌👌👌,0,good qualiti product ok good,negative
26,26,,Terrific,Very good productAnd the packaging is too good I am satisfied with this product,0,terrif good productand packag good satisfi product,negative
27,27,,Delightful,"Good product, I bought it almost 5000 cheaper than offline, but the installation cost has to be born by us.",0,delight good product bought almost cheaper offlin instal cost born us,negative
28,28,,Worth the money,Superb cooling ...the best part of ac is remote has very big screen and feels like a premium remote..worth it product ....,0,worth superb cool best part ac remot big screen feel like premium remoteworth product,negative
29,29,,Good choice,Good,0,good choic good,negative
30,30,,Excellent,"Super performance, just need 10-15 min to cool my room, silent operation, I choose it after inquiring from market in market it's 40000.00 + installation chargesI got it 36000.00+ installation 2350.00 That convertible mode is so cool . No need to adjust all setting just swap through c1, c2,c3 .... And it adjust as you select. Look great,  remote came is great , installed one day after delivery and service is superb. One big 👍 for this product.",0,excel super perform need min cool room silent oper choos inquir market market instal chargesi got instal convert mode cool need adjust set swap c cc adjust select look great remot came great instal day deliveri servic superb one big product,negative
31,31,,Awesome,Pros . Nice cooling. Expert Installation. Value for moneyCons. Remote keys required radium to operate in dark room.,0,awesom pros nice cool expert instal valu mycon remot key requir radium oper dark room,negative
32,32,,Great product,Timely delivered and installed experience bestAnd colling properly 132 sp my room size,0,great product time deliv instal experi bestand coll proper sp room size,negative
33,33,,Simply awesome,Value for money.. nyc cooling for my room on the top floor takes 15 min approx. In turbo mode. Same day delivery and installation makes me very happy... Thanks Flipkart and Jeeves installation services....thank you again,0,simpli awesom valu nyc cool room top floor take min approx turbo mode day deliveri instal make happi thank flipkart jeev instal servicesthank,negative
34,34,,Wonderful,Nice product for insulation is costly,0,wonder nice product insul cost,negative
35,35,,Great product,Very nice,0,great product nice,negative
36,36,,Great product,Very good ac in 1.5 ton 10min room cooling ok 23e,0,great product good ac ton min room cool ok e,negative
37,37,,Perfect product!,Good Fast Cooling,0,perfect product good fast cool,negative
38,38,,Wonderful,Working good,0,wonder work good,negative
39,39,,Highly recommended,The product is so cool. The value of money for this product is perfect. And the service godrej is so fast and perfect.,0,high recommend product cool valu product perfect servic godrej fast perfect,negative
40,40,,Brilliant,"Good Ac Cooling good, let see in extreme hot and noise level little high but it is adjustable, all other things the best. Operate with solar invertor smoothly",0,brilliant good ac cool good let see extrem hot nois level littl high adjust thing best oper solar invertor smooth,negative
41,41,,Just okay,Cooling is very slow and very high noise from indoor unit even fan in minimum speed.,0,okay cool slow high nois indoor unit even fan minimum speed,negative
42,42,,Highly recommended,Good Product,0,high recommend good product,negative
43,43,,Brilliant,Excellent Product Loved it. But Godrej Should improve their installation and Maintenance service,0,brilliant excel product love godrej improv instal mainten servic,negative
44,44,,Super!,"Everything is OK. Packaging was good.Cooling is normal But during running, fan makes little more noise as compared to other ac. That runs without noise",0,super everyth ok packag goodcool normal run fan make littl nois compar ac run without nois,negative
45,45,,Good quality product,Product is good but remote design is such that it's vulnerable to breaking. You need to take utmost care with remote,0,good qualiti product product good remot design vulner break need take utmost care remot,negative
