,productTitle,Rating,Review Title,Review Body
17,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Amazing,I purchase it for my IT field .You can definitely go through this laptop..Having lost of and wonderful features..
18,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,After 1 to 2 months it's not working properly and I faced motherboard issue.,"I don't like the product totally it worked properly one month after that it's having mother board issue I went to service centre but it worked properly for one hour only after that again I faced mother board issue and again I went to service centre till now they didn't solved it and I don't know whats going on and service centre workers behaviour is not good at all rudely he was talking and said I'm doing for free, at HP tirupati service centre."
19,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",2.0 out of 5 stars,Body is not good.,Screen hilta hai. Screen aur body ke bich mein bahut gap hota hai.
20,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,The power button is in the wrong place.,"The worst thing about this laptop!""Wrong Power button placing""There is no space for 2.5 inch HDD. Also there is no second m.2 slot. So you can only use a second storage through USB. Games need a lot of space hence this being a gaming laptop is at a disadvantage.Ram expansion only upto16 GB. And lesser battery capacity.And as it is a gaming laptop, its battery backup is only 2 hours.the fan placing at the bottom is only single side, if they have placing both sides like Asus Predator , then the air flow would have been very good for cooling.Cooling system also bad.There is no light on the number lock button, so sometimes there is confusion whether it is on or off?Go for other laptop which are better then hp victus."
21,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Quality is awsome,Nice
22,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Totally worth buying,In this price range this was the only laptop which was providing that many specs. I played games like Valorant which was running super smooth. It is also more than enough for coding.
23,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Best Gaming & Editing Laptop,Amazing laptop light weight and best for gaming and editing videos everything best part is performance is too good… value for money
24,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,The keyboard was not functional.,The keyboard was not functional. I was disappointed to open the new laptop to see the L key was not working properly. I need a laptop urgently and now this delay in replacement and return is not helping. Basic QC should have been done before despatch.
25,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Good product,Good experience
26,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Excellent performance,Super fast speed
27,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Original product,"The Device built is sturdy, smooth processing."
28,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Amazing Laptop,
29,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Best laptop ever purchase it on sale with credit card I received this at 62k cost now price is 74k,"Backlit , performance"
30,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Best battery life,
31,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Good Processing Speed,A Great Buy for Machine Learning.
32,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Not satisfied with the product,Touchpad is not working within a month of usage
33,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,NICE,
34,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Quality of laptop is Better.....and performance is too good...,
35,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,"Poor Keypad, Key Printes are Cunfusion & Lid/Screen also Wobble","The media could not be loaded.
                



Keypad buttons is 0, Q, O, D, & 8, B, look the same H , K, is also look the same and. & , is also very confused when i type,Lid/Screen also wobble, take the Product return & Refund the amount ASAP."
36,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Quality issue,received a different product from what I ordered. The product was not replaced despite trying. Called up customer care so many times. I got the ryzen version. So I will talk about this. The quality isn't great. Heats up quickly. Battery drains out fast. Performance wise it is average.
37,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,EXCELLENT PRODUCT 👌,Got it for Rs.64000 approx in May 2023 Summer Sale!!
38,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Worst nightmare,"Very very bad quality, main spekaers are not working , it's hanging and so slow and obviously it's i5 uske baawjood bhi , it's brand new , brand new my foot"
39,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Never bought this laptop,"The media could not be loaded.
                



Kya hi bolna Bhai ab .... 17 din ke baad replacement hp Raha finally... Aur woh bhi kal ho Raha hai .... Not happy with Amazon nd hp team .... I can't believe AAP log aise kaise ho sakte ho"
40,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Good,For 15-fa0666tx1.Battery is 70WHr2.Charger 200W
41,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Product warranty had already started,"I bought the product on 5th September and noticed that the warranty had started in June.Somebody logged in to in June. The HP and Amazon both didn't care to replace it.After high level of conversations, Amazon ris ready for a return"
42,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Value for money in performance,"Features:Processor: 12th Gen Intel(R) Core(TM) i5-12450H 2.00 GHzDisplay: Typically comes with a Full HD (1920x1080) IPS display, offering vibrant colors and wide viewing angles.Graphics: Integrated Intel Iris Xe Graphics or dedicated NVIDIA GeForce GTX 1650/3050 (depending on the variant).RAM: Options for 8GB or 16GB DDR4, upgradable.Storage: SSD options starting from 256GB, upgradable to 1TBAdvantages:Performance: Strong performance for a mid-range laptop, thanks to the 12th Gen Intel i5 processor.Display: Good display quality with Full HD resolution and IPS technology.Upgradeability: Easy to upgrade RAM and storage.Keyboard: Comfortable, backlit keyboard ideal for typing in low-light conditions.Port Selection: A wide range of ports ensures good connectivity optionsDisadvantagesBuild Quality: While decent, the plastic build might not feel as premium as other laptops in its price range.Thermals and Noise: Can get warm and loud under load.Battery Life: Might not meet the advertised 6-8 hours for all users, especially under heavy use.Weight: Slightly heavier than some competitors, impacting portability.Value for Money:The HP Victus laptop with a 12th Gen Intel Core i5-12450H offers a solid balance of performance, features, and affordability. Priced competitively, it provides good value for students, professionals, and casual gamers who need a reliable machine for everyday tasks and moderate multitasking. While there are minor drawbacks in build quality and battery life, the performance and feature set generally outweigh these cons."
43,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Worst product from hp.,This laptop is worst product I used. Hard ware and screen issues after one week of usage. Very worst item. Don't buy this laptop. With in 12 days of usage I get screen problem. Don't buy these type of products. Waste product from hp.
44,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Screen Bleeding issue And Dead pixel,I am facing screen Bleeding issue and found dead pixel in my laptop screen but hp technician is not visiting and Amazon says that wait until technician visit.
45,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Performance,"The media could not be loaded.
                



After using it for 15 days, I found it lags a lot even it has 16 GB Ram and i5 processor.It doesn't seem to be a i5 processor laptop.I will never recommend to buy this don't buy it at all guys."
46,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,It’s only 2.4 ghz Wrong configuration updated specification section,Processor  speed is only 2.4 GHz but in specification processed speed is updated as 4.2 ghz
47,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Charger is not working,"Return option also not there,"
48,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,"Life bigmistake of taking this laptop for work , it’s do flickering every time","The media could not be loaded.
                



Don’t even think of buying this laptop ever an ever in your whole life i m also posting an twitte,and linkedin post right now"
49,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Very bad experience,Left speaker not working the product is damaged and i am not getting a replacement option which is was assured before buying
50,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Poor battery backup,"Don't buy for this one, every 2hours only battery charging required ,waste of money"
51,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,overall review,"I recently bought  the HP Vitus i5, and I must say, it exceeded my expectations in several ways.Performance-wise, the Intel i5 processor  gives a  smooth and responsive experience, whether I'm multitasking between work applications .The 16GB of RAM ensures that I can run multiple programs simultaneously without noticeable  lag.It has 15.6-inch display , making it enjoyable to watch movies or edit photos.The battery is pretty good in single time charge  , allowing me to work for extended periods without constantly needing to plug in which stands upto 6 hours .In terms of connectivity,it includes  USB-C, HDMI, and SD card slots, making it easy to connect to external devices such as monitors or printers.Overall,if you are student it is  Highly recommended!"
52,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",3.0 out of 5 stars,Why HP Victus 15-fa0555TX Different and better then HP-Victus 15-fa0666TX !!!!!,"So.. in 15-fa0666TX Windows 11 Home... Processor is Intel Core i5 with ***2.5GHz***and in 15-fa0555TX Windows 11 pro... Processor is Intel Core i5 with ***4.4GHz***(it's overclocked)and 15-fa0555TX (Lithium Ion Cells **4**) battry is better then 15-fa0666TX (Lithium Ion Cells **3**)Voltage : 240 Volts for 15-fa0555TX  100 Volts for 15-fa0666TXIn the end the 15-fa0555TX is far more batter then 15-fa0666TX
]]]]]]I'm using it for 2 months and it's can run heavy Games like The finals , COD WAR ZONE etc pretty smoothly.Graphics can handel Blender and premiere pro 2024 other heavy software easily. Thank You HP <3Hope this Help you to choose the best..."
53,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Shut down issue,The laptop having a problem not getting shut down keep on restart
