Unnamed: 0,Rating,Review Title,Review Body,Label,Combined
30,,Excellent,"Super performance, just need 10-15 min to cool my room, silent operation, I choose it after inquiring from market in market it's 40000.00 + installation chargesI got it 36000.00+ installation 2350.00 That convertible mode is so cool . No need to adjust all setting just swap through c1, c2,c3 .... And it adjust as you select. Look great,  remote came is great , installed one day after delivery and service is superb. One big 👍 for this product.",0,excellent super performance just need min to cool my room silent operation i choose it after inquiring from market in market its installation chargesi got it installation that convertible mode is so cool no need to adjust all setting just swap through c cc and it adjust as you select look great remote came is great installed day after delivery and service is superb one big for this product
31,,Awesome,Pros . Nice cooling. Expert Installation. Value for moneyCons. Remote keys required radium to operate in dark room.,0,awesome pros nice cooling expert installation value for mycons remote keys required radium to operate in dark room
32,,Great product,Timely delivered and installed experience bestAnd colling properly 132 sp my room size,0,great product timely delivered and installed experience bestand colling properly sp my room size
33,,Simply awesome,Value for money.. nyc cooling for my room on the top floor takes 15 min approx. In turbo mode. Same day delivery and installation makes me very happy... Thanks Flipkart and Jeeves installation services....thank you again,0,simply awesome value for my nyc cooling for my room on the top floor takes min approx in turbo mode same day delivery and installation makes me very happy thanks flipkart and jeeves installation servicesthank you again
34,,Wonderful,Nice product for insulation is costly,0,wonderful nice product for insulation is costly
35,,Great product,Very nice,0,great product very nice
36,,Great product,Very good ac in 1.5 ton 10min room cooling ok 23e,0,great product very good ac in ton min room cooling ok e
37,,Perfect product!,Good Fast Cooling,0,perfect product good fast cooling
38,,Wonderful,Working good,0,wonderful working good
39,,Highly recommended,The product is so cool. The value of money for this product is perfect. And the service godrej is so fast and perfect.,0,highly recommended the product is so cool the value of my for this product is perfect and the service godrej is so fast and perfect
40,,Brilliant,"Good Ac Cooling good, let see in extreme hot and noise level little high but it is adjustable, all other things the best. Operate with solar invertor smoothly",0,brilliant good ac cooling good let see in extreme hot and noise level little high but it is adjustable all other things the best operate with solar invertor smoothly
41,,Just okay,Cooling is very slow and very high noise from indoor unit even fan in minimum speed.,0,just okay cooling is very slow and very high noise from indoor unit even fan in minimum speed
42,,Highly recommended,Good Product,0,highly recommended good product
43,,Brilliant,Excellent Product Loved it. But Godrej Should improve their installation and Maintenance service,0,brilliant excellent product loved it but godrej should improve their installation and maintenance service
44,,Super!,"Everything is OK. Packaging was good.Cooling is normal But during running, fan makes little more noise as compared to other ac. That runs without noise",0,super everything is ok packaging was goodcooling is normal but during running fan makes little more noise as compared to other ac that runs without noise
45,,Good quality product,Product is good but remote design is such that it's vulnerable to breaking. You need to take utmost care with remote,0,good quality product product is good but remote design is such that its vulnerable to breaking you need to take utmost care with remote
